date,player1,result1,player2,result2,title,note
2006-04-25,鈴木大介,○,島朗,●,竜王戦2組 準決勝,
2006-04-25,高野秀行,○,桜井昇,●,棋聖戦 一次予選,
2006-04-25,杉本昌隆,●,佐藤康光,○,王座戦 本戦1回戦,
2006-04-25,横山泰明,○,中村修,●,棋王戦 予選,
2006-04-25,伊奈祐介,●,中座真,○,棋王戦 予選,
2006-04-25,甲斐智美,○,山田久美,●,女流名人位戦 A級2回戦,
2006-04-25,中村真梨花,●,竹部さゆり,○,女流名人位戦 Ｂ級1回戦,
2006-04-25,森内俊之,○,谷川浩司,●,名人戦 第２局,
2006-04-26,阿部隆,●,藤井猛,○,竜王戦1組 ５決2回戦,
2006-04-26,小林裕士,●,佐藤紳哉,○,竜王戦4組 準決勝,
2006-04-26,田中魁秀,○,森信雄,●,棋聖戦 一次予選,
2006-04-26,東和男,●,増田裕司,○,棋聖戦 一次予選,
2006-04-26,瀬川晶司,○,室岡克彦,●,棋聖戦 一次予選・反則,
2006-04-26,依田有司,○,高田尚平,●,棋聖戦 一次予選,
2006-04-26,神吉宏充,○,村田智弘,●,棋聖戦 一次予選,
2006-04-26,郷田真隆,●,丸山忠久,○,王座戦 本戦1回戦,
2006-04-26,千葉幸生,●,窪田義行,○,王将戦 一次予選,
2006-04-26,橋本崇載,●,藤原直哉,○,王将戦 一次予選,
2006-04-26,山田朱未,○,上田初美,●,女流名人位戦 Ｂ級1回戦,
2006-04-26,千葉涼子,○,古河彩子,●,倉敷藤花戦 2回戦,
2006-04-26,鈴木環那,○,大庭美樹,●,倉敷藤花戦 1回戦,
2006-04-27,児玉孝一,○,小阪昇,●,棋聖戦 一次予選,
2006-04-27,大島映二,○,佐藤和俊,●,棋聖戦 一次予選,
2006-04-27,武者野勝巳,●,広瀬章人,○,棋聖戦 一次予選,
2006-04-27,櫛田陽一,●,中村亮介,○,棋聖戦 一次予選,
2006-04-27,飯塚祐紀,○,田村康介,●,棋王戦 予選,
2006-04-27,村中秀史,●,松尾歩,○,棋王戦 予選,
2006-04-27,野田敬三,●,阪口悟,○,棋王戦 予選,
2006-04-27,山本真也,○,安用寺孝功,●,棋王戦 予選,
2006-04-27,島本亮,●,畠山鎮,○,王将戦 一次予選,
2006-04-27,早水千紗,○,山田朱未,●,女流名人位戦 Ｂ級2回戦,
2006-04-27,土佐浩司,,松尾歩,,銀河戦 C8回戦,詳細情報
2006-04-28,脇謙二,●,北島忠雄,○,竜王戦3組 昇決2回戦,
2006-04-29,泉正樹,,屋敷伸之,,銀河戦 D8回戦,詳細情報
2006-04-30,阿部隆,,広瀬章人,,NHK杯戦 1回戦,詳細情報
2006-05-01,木下浩一,●,西尾明,○,竜王戦5組 昇決2回戦,
2006-05-01,遠山雄亮,○,勝浦修,●,竜王戦6組 昇決2回戦,
2006-05-01,飯野健二,○,伊藤能,●,棋聖戦 一次予選,
2006-05-01,谷川浩司,●,佐藤紳哉,○,王位戦 紅組4回戦,
2006-05-01,佐藤和俊,○,川上猛,●,王将戦 予選,
2006-05-01,中井広恵,○,室田伊緒,●,女流王位戦 紅組2回戦,
2006-05-01,石橋幸緒,○,井道千尋,●,女流王位戦 白組2回戦,
2006-05-02,森内俊之,○,郷田真隆,●,竜王戦1組 準決勝,
2006-05-02,西村一義,○,酒井順吉,●,竜王戦6組 昇決2回戦,
2006-05-02,藤倉勇樹,●,中村亮介,○,竜王戦6組 準決勝,
2006-05-02,木下浩一,○,佐藤義則,●,棋聖戦 一次予選,
2006-05-02,小林宏,○,田丸昇,●,棋聖戦 一次予選,
2006-05-02,松浦隆一,○,上野裕和,●,棋聖戦 一次予選,
2006-05-02,山本真也,○,坪内利幸,●,棋聖戦 一次予選,
2006-05-02,藤原直哉,●,島朗,○,王位戦 白組4回戦,
2006-05-02,長沼洋,●,井上慶太,○,王将戦 一次予選,
2006-05-02,阿部隆,●,村田智弘,○,王将戦 一次予選,
2006-05-02,高田尚平,●,中川大輔,○,王将戦 一次予選,
2006-05-02,横山泰明,○,橋本崇載,●,新人王戦 3回戦,
2006-05-02,清水市代,○,斎田晴子,●,女流名人位 A級2回戦,
2006-05-02,室田伊緒,●,本田小百合,○,女流王位戦 紅組1回戦,
2006-05-02,井道千尋,●,高群佐知子,○,女流王位戦 白組1回戦,
2006-05-04,羽生善治,○,藤井猛,●,朝日オープン 第3局,
2006-05-04,木村一基,,山崎隆之,,銀河戦 E8回戦,詳細情報
2006-05-05,森内俊之,●,深浦康市,○,王位戦 白組4回戦,
